anio,poblacion
1869,1830214
1870,1886897.46026145
1871,1945336.46094998
1872,2005585.37281461
1873,2067700.25051792
1874,2131738.88478846
1875,2197760.85618837
1876,2265827.59054617
1877,2336002.41610647
1878,2408350.62244956
1879,2482939.52123586
1880,2559838.50883161
1881,2639119.13087421
1882,2720855.14883722
1883,2805122.60865682
1884,2891999.91148387
1885,2981567.88662706
1886,3073909.86675531
1887,3169111.76542918
1888,3267262.15703355
1889,3368452.35918584
1890,3472776.51769654
1891,3580331.69416102
1892,3691217.95626413
1893,3805538.47088169
1894,3923399.6000653
1895,4044911
1896,4170606.04803477
1897,4295418.80266907
1898,4423966.79950558
1899,4556361.82226665
1900,4692719
1901,4825716.29571401
1902,4962482.89461179
1903,5103125.62327515
1904,5247754.3358796
1905,5396482
1906,5646864.23574624
1907,5908863.53312212
1908,6183018.89251043
1909,6469894.32246053
1910,6770080
1911,7040680.34644322
1912,7322096.59868004
1913,7614761.0688626
1914,7919123.34867562
1915,8235651
1916,8378004.43445547
1917,8522818.45160214
1918,8670135.58267363
1919,8819999.09405703
1920,8972453
1921,9245755.2268241
1922,9527382.27933265
1923,9817587.73293002
1924,10116632.8869643
1925,10424787
1926,10710841.8686584
1927,11004746.0476081
1928,11306714.9209546
1929,11616969.7829169
1930,11935738
1931,12158616.9647905
1932,12385657.8031866
1933,12616938.2308756
1934,12852537.4147487
1935,13092536
1936,13298008.0987876
1937,13506704.8427762
1938,13718676.8390152
1939,13933975.4887727
1940,14152653
1941,14373250.652338
1942,14597286.7641802
1943,14824814.9308555
1944,15055889.5830845
1945,15290566
1946,15645641.5436072
1947,16008962.6055076
1948,16380720.6620595
1949,16761111.6360599
1950,17150336
1951,17517342
1952,17876956
1953,18230816
1954,18580559
1955,18927821
1956,19271511
1957,19610538
1958,19946539
1959,20281151
1960,20616009
1961,20950583
1962,21283782
1963,21616402
1964,21949243
1965,22283099
1966,22611641
1967,22934336
1968,23260682
1969,23600175
1970,23962313
1971,24354307
1972,24769825
1973,25198051
1974,25628167
1975,26049356
1976,26458254
1977,26862074
1978,27265859
1979,27674655
1980,28093507
1981,28524120
1982,28963109
1983,29407972
1984,29856213
1985,30305336
1986,30757601
1987,31214665
1988,31673154
1989,32129676
1990,32580854
1991,33028546
1992,33475005
1993,33917440
1994,34353066
1995,34779096
1996,35195575
1997,35604362
1998,36005387
1999,36398577
2000,36783859
2001,37156195
2002,37515632
2003,37869730
2004,38226051
2005,38592150
2006,38970611
2007,39356383
2008,39745613
2009,40134425
2010,40518951
